Raport klasyfikacji per klasa — CNN-od-zera (mini-Xception)
============================================================

Emocja              F1
złość           0.4712
wstręt          0.2674
strach          0.3037
radość          0.7884
smutek          0.4304
zaskoczenie     0.7065
neutralny       0.5441

Accuracy:      0.5539
F1 (macro):    0.5017
F1 (weighted): 0.5552
Inferencja:    1.440 ms/próbkę
Parametry:     56,951
Rozmiar:       0.22 MB
