Raport klasyfikacji per klasa — Uczenie transferowe (mobilenet_v2)
============================================================

Emocja              F1
złość           0.4161
wstręt          0.2532
strach          0.3009
radość          0.7099
smutek          0.3972
zaskoczenie     0.6609
neutralny       0.5063

Accuracy:      0.5109
F1 (macro):    0.4635
F1 (weighted): 0.5103
Inferencja:    4.243 ms/próbkę
Parametry:     1,536,327
Rozmiar:       9.88 MB
