Raport klasyfikacji per klasa — Uczenie transferowe (resnet50)
============================================================

Emocja              F1
złość           0.5871
wstręt          0.6752
strach          0.5296
radość          0.8696
smutek          0.5331
zaskoczenie     0.7835
neutralny       0.6222

Accuracy:      0.6684
F1 (macro):    0.6572
F1 (weighted): 0.6695
Inferencja:    5.437 ms/próbkę
Parametry:     23,809,543
Rozmiar:       91.89 MB
