Raport klasyfikacji per klasa — Uczenie transferowe (mobilenet_v2)
============================================================

Emocja              F1
złość           0.3920
wstręt          0.2734
strach          0.2783
radość          0.7063
smutek          0.4007
zaskoczenie     0.6366
neutralny       0.4881

Accuracy:      0.5039
F1 (macro):    0.4536
F1 (weighted): 0.4979
Inferencja:    5.041 ms/próbkę
Parametry:     1,536,327
Rozmiar:       9.88 MB
