Raport klasyfikacji per klasa — CNN-od-zera (mini-Xception)
============================================================

Emocja              F1
złość           0.5015
wstręt          0.3312
strach          0.3053
radość          0.7984
smutek          0.4183
zaskoczenie     0.7196
neutralny       0.5584

Accuracy:      0.5738
F1 (macro):    0.5190
F1 (weighted): 0.5648
Inferencja:    1.336 ms/próbkę
Parametry:     56,951
Rozmiar:       0.22 MB
