Raport klasyfikacji per klasa — Transformer wizyjny (ViT-Lite)
============================================================

Emocja              F1
złość           0.1914
wstręt          0.0695
strach          0.0754
radość          0.6022
smutek          0.2890
zaskoczenie     0.5700
neutralny       0.3885

Accuracy:      0.3688
F1 (macro):    0.3123
F1 (weighted): 0.3691
Inferencja:    1.978 ms/próbkę
Parametry:     1,006,599
Rozmiar:       3.84 MB
