Raport klasyfikacji per klasa — Transformer wizyjny (ViT-Lite)
============================================================

Emocja              F1
złość           0.1878
wstręt          0.0676
strach          0.1188
radość          0.5809
smutek          0.3356
zaskoczenie     0.5157
neutralny       0.3640

Accuracy:      0.3794
F1 (macro):    0.3101
F1 (weighted): 0.3672
Inferencja:    2.573 ms/próbkę
Parametry:     1,006,599
Rozmiar:       3.84 MB
